jobCd,jobNm,jobLrclNm,holland_R,holland_I,holland_A,holland_S,holland_E,holland_C,holland_top3
K000000887,수질환경기술자,연구직 및 공학 기술직,2.67,3.15,2.3,2.14,2.51,2.74,ICR
K000000920,토양환경기술자 및 연구원,연구직 및 공학 기술직,2.11,2.92,1.9,1.86,2.19,2.6,ICE
K000000938,대기환경기술자,연구직 및 공학 기술직,2.22,2.84,2.07,1.96,2.16,2.48,ICR
K000001026,소음진동기술자 및 연구원,연구직 및 공학 기술직,2.56,2.6,2.32,2.19,2.35,2.6,ICR
K000001036,가스·에너지시험원 및 진단전문가,연구직 및 공학 기술직,2.86,3.05,2.38,2.32,2.65,3.06,CIR
K000001064,보건위생·환경검사원,연구직 및 공학 기술직,2.26,2.75,2.13,2.52,2.42,3.01,CIS
K000001084,가스·에너지공학 기술자 및 연구원,연구직 및 공학 기술직,2.91,3.31,2.93,2.62,2.99,3.2,ICE
K000001097,환경공학 시험원,연구직 및 공학 기술직,2.14,3.01,2.43,2.12,1.92,2.94,ICA
K000007554,폐기물처리기술자,연구직 및 공학 기술직,2.66,2.88,2.2,2.11,2.44,2.84,ICR
K000007582,환경영향평가원,연구직 및 공학 기술직,2.17,2.93,2.15,2.2,2.39,2.8,ICE
K000001123,섬유공학 기술자 및 연구원,연구직 및 공학 기술직,2.49,3.21,2.4,2.23,2.36,2.9,ICR
K000001151,섬유공학 시험원(섬유·염료),연구직 및 공학 기술직,2.39,2.85,2.3,2.09,2.42,2.85,ICE
K000000970,식품공학 시험원,연구직 및 공학 기술직,2.76,3.13,2.27,2.28,2.38,2.95,ICR
K000001063,식품공학 기술자 및 연구원,연구직 및 공학 기술직,2.45,3.22,2.65,2.48,2.9,3.08,ICE
K000000835,산업안전원 및 위험관리원,연구직 및 공학 기술직,2.98,2.89,2.25,2.89,2.69,2.99,CRI
K000000953,소방공학 기술자 및 연구원,연구직 및 공학 기술직,2.56,2.77,2.37,2.47,2.54,2.94,CIR
K000007545,비파괴검사원,연구직 및 공학 기술직,3.0,2.59,2.1,2.19,2.12,2.73,RCI
K000001090,제도사(캐드원),연구직 및 공학 기술직,2.83,3.03,3.02,2.32,2.35,2.93,IAC
K000000906,대학 교수,교육·법률·사회복지·경찰·소방직 및 군인,2.79,3.63,3.58,3.89,3.55,3.65,SCI
K000001220,대학 강사,교육·법률·사회복지·경찰·소방직 및 군인,1.73,2.78,2.97,3.57,2.84,3.11,SCA
K000000849,보조교사,교육·법률·사회복지·경찰·소방직 및 군인,1.59,2.18,2.2,2.89,1.82,2.5,SCA
K000001065,중·고등학교 교사,교육·법률·사회복지·경찰·소방직 및 군인,1.79,2.75,2.68,3.4,2.73,3.02,SCI
K000001113,특수교육 교사,교육·법률·사회복지·경찰·소방직 및 군인,1.57,2.12,2.47,3.36,2.11,2.57,SCA
K000007558,초등학교교사,교육·법률·사회복지·경찰·소방직 및 군인,1.9,2.85,2.55,3.37,2.51,2.87,SCI
K000007530,유치원교사,교육·법률·사회복지·경찰·소방직 및 군인,1.79,2.42,2.98,3.49,2.58,2.99,SCA
K000000837,외국어 강사,교육·법률·사회복지·경찰·소방직 및 군인,1.47,2.25,2.33,3.36,2.44,2.85,SCE
K000000883,학습지·교육교구 방문강사,교육·법률·사회복지·경찰·소방직 및 군인,1.5,2.48,2.5,3.08,2.45,2.69,SCA
K000000911,예능 강사,교육·법률·사회복지·경찰·소방직 및 군인,2.1,2.17,3.1,3.34,2.64,2.87,SAC
K000000947,문리학원 강사,교육·법률·사회복지·경찰·소방직 및 군인,1.5,2.83,2.42,3.04,2.24,2.67,SIC
K000000967,기술·기능계강사,교육·법률·사회복지·경찰·소방직 및 군인,2.55,2.61,2.6,3.2,2.55,2.96,SCI
K000007539,컴퓨터강사,교육·법률·사회복지·경찰·소방직 및 군인,2.24,2.52,2.43,2.84,2.53,3.0,CSE
K000001149,교재·교구 및 이러닝전문가,교육·법률·사회복지·경찰·소방직 및 군인,2.23,2.71,3.07,3.21,2.92,2.97,SAC
K000001221,법무사 및 집행관,교육·법률·사회복지·경찰·소방직 및 군인,1.9,2.63,2.58,2.99,3.4,3.25,ECS
K000007470,변리사,교육·법률·사회복지·경찰·소방직 및 군인,1.94,3.16,2.92,2.68,2.98,3.06,ICE
K000007482,변호사,교육·법률·사회복지·경찰·소방직 및 군인,1.99,2.92,2.85,3.42,3.69,3.45,ECS
K000007527,판사,교육·법률·사회복지·경찰·소방직 및 군인,1.24,2.62,2.65,3.03,2.63,2.93,SCA
K000007573,검사,교육·법률·사회복지·경찰·소방직 및 군인,1.24,2.65,2.8,2.89,2.86,2.86,SEC
K000001180,법률 관련 사무원,교육·법률·사회복지·경찰·소방직 및 군인,1.61,2.45,2.48,2.88,3.03,3.11,CES
K000000857,사회복지사,교육·법률·사회복지·경찰·소방직 및 군인,1.56,2.03,2.5,3.52,2.88,2.95,SCE
K000001049,심리상담전문가,교육·법률·사회복지·경찰·소방직 및 군인,1.41,2.45,2.58,3.74,2.72,3.07,SCE
K000007526,청소년지도사,교육·법률·사회복지·경찰·소방직 및 군인,1.89,2.31,2.63,3.24,2.66,2.93,SCE
K000007565,직업상담사,교육·법률·사회복지·경찰·소방직 및 군인,1.51,2.18,2.47,3.44,2.64,2.81,SCE
K000007502,보육교사,교육·법률·사회복지·경찰·소방직 및 군인,1.86,2.4,2.72,3.13,2.4,2.8,SCA
K000007541,생활지도원,교육·법률·사회복지·경찰·소방직 및 군인,1.61,2.19,2.35,3.09,2.42,2.78,SCE
K000007495,소방관,교육·법률·사회복지·경찰·소방직 및 군인,2.93,2.38,2.25,2.64,2.33,2.77,RCS
K000007521,경찰관,교육·법률·사회복지·경찰·소방직 및 군인,2.21,2.6,2.63,3.22,3.07,3.2,SCE
K000007540,해양경찰관,교육·법률·사회복지·경찰·소방직 및 군인,2.24,2.47,2.22,2.92,2.52,2.93,CSE
